id,production_countries
271110,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
44833,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
135397,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
37724,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
558,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
68721,"[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
12155,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
36668,"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
62211,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
8373,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
91314,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
68728,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
102382,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
20526,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
49013,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
44912,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
10193,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
534,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""IT"", ""name"": ""Italy""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
168259,"[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
72190,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""MT"", ""name"": ""Malta""}]"
127585,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
54138,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
81005,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
64682,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""AU"", ""name"": ""Australia""}]"
9543,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
68726,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""CA"", ""name"": ""Canada""}]"
38356,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
217,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
105864,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
62177,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
188927,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
10681,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
5174,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
14161,"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
17979,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
76757,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
258489,"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
411,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
246655,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
155,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
14160,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
15512,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
1726,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
44826,"[{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]"
8487,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
1735,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
297761,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
2698,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
137113,"[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
9804,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
14869,"[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
150540,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
278927,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
10138,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
58595,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
102651,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
119450,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
79698,"[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""BE"", ""name"": ""Belgium""}, {""iso_3166_1"": ""IN"", ""name"": ""India""}]"
64686,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
100402,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
10192,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
158852,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
177572,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
82690,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
5255,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
47933,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
10191,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
296,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
118340,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
157336,"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]"
27205,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
315011,"[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}]"
49051,"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
9799,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
4922,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
49538,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
131634,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
27022,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
503,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
241259,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
810,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
68735,"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""JP"", ""name"": ""Japan""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
87101,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
10140,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
676,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
1858,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
1966,"[{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""IT"", ""name"": ""Italy""}, {""iso_3166_1"": ""NL"", ""name"": ""Netherlands""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
675,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
674,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
8960,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
6479,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
118,"[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
2062,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
272,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
10527,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
18360,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""CA"", ""name"": ""Canada""}]"
2080,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
605,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""AU"", ""name"": ""Australia""}]"
109445,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
604,"[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
76338,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
76341,"[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
13448,"[{""iso_3166_1"": ""IT"", ""name"": ""Italy""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
10195,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
13053,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
19585,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
57165,"[{""iso_3166_1"": ""ES"", ""name"": ""Spain""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
62213,"[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
177677,"[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
7978,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
5559,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
49444,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
10196,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
956,"[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
117251,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
50321,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
11619,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
266647,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
82703,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
652,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""MT"", ""name"": ""Malta""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]"
80321,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
36669,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
43074,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
95,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
608,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
2310,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
140300,"[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
56292,"[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""AE"", ""name"": ""United Arab Emirates""}]"
81188,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
7552,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
616,"[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}]"
147441,"[{""iso_3166_1"": ""ES"", ""name"": ""Spain""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
13475,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
557,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
82702,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
205584,"[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
10048,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
13183,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
944,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
1927,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
72559,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
7364,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""ES"", ""name"": ""Spain""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
2114,"[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
1771,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
36643,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
8619,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
50620,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
65759,"[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}]"
1724,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
267935,"[{""iso_3166_1"": ""IN"", ""name"": ""India""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
281957,"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}, {""iso_3166_1"": ""TW"", ""name"": ""Taiwan""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
77950,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
44896,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
270946,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
2503,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
9502,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
102899,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
101299,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
228161,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
74,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
8961,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
417859,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
27576,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
86834,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
17578,"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
673,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
6972,"[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]"
82700,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
10567,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
181533,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
38055,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
671,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
49524,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
22,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
131631,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
591,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""MT"", ""name"": ""Malta""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]"
172385,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
36658,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
51497,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
58574,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
18823,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
861,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
1911,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
49040,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
415,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
8871,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
435,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
955,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
2133,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
1979,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
87827,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""TW"", ""name"": ""Taiwan""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]"
1250,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""AU"", ""name"": ""Australia""}]"
324668,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""CN"", ""name"": ""China""}]"
9471,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
70981,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
10996,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
68724,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
2789,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
97020,"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
7459,"[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
42888,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
37834,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
75612,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
1895,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
1894,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
585,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
76170,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
1893,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
49519,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
2395,"[{""iso_3166_1"": ""BE"", ""name"": ""Belgium""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""IT"", ""name"": ""Italy""}, {""iso_3166_1"": ""ES"", ""name"": ""Spain""}]"
12100,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
290595,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
98566,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
49047,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
9619,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
308531,"[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}]"
166424,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
1593,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]"
254128,"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""AU"", ""name"": ""Australia""}]"
714,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
2024,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
163,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
787,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
262500,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
2567,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
38745,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
40805,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
53182,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
41513,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
13700,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
262504,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
39254,"[{""iso_3166_1"": ""IN"", ""name"": ""India""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
77931,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
1639,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
80274,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
1571,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
120,"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"
