id,title,budget,revenue,release_date,popularity,original_language,runtime,vote_average,vote_count
38356,Transformers: Dark of the Moon,195000000,1123746996,2011-06-28,28.529607,en,154.0,6.1,3299
217,Indiana Jones and the Kingdom of the Crystal Skull,185000000,786636033,2008-05-21,75.674458,en,122.0,5.7,2495
105864,The Good Dinosaur,175000000,331926147,2015-11-14,51.692953,en,93.0,6.6,1736
62177,Brave,185000000,538983207,2012-06-21,125.114374,en,93.0,6.7,4641
188927,Star Trek Beyond,185000000,343471816,2016-07-07,65.352913,en,122.0,6.6,2568
10681,WALL·E,180000000,521311860,2008-06-22,66.390712,en,98.0,7.8,6296
5174,Rush Hour 3,140000000,258022233,2007-08-08,22.57178,en,91.0,6.1,783
14161,2012,200000000,769653595,2009-10-10,45.274225,en,158.0,5.6,4903
17979,A Christmas Carol,200000000,325233863,2009-11-04,39.744242,en,96.0,6.6,1095
76757,Jupiter Ascending,176000003,183987723,2015-02-04,85.36908,en,124.0,5.2,2768
258489,The Legend of Tarzan,180000000,356743061,2016-06-29,42.741719,en,109.0,5.5,2430
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,748806957,2005-12-07,67.391328,en,143.0,6.7,2629
246655,X-Men: Apocalypse,178000000,543934787,2016-05-18,139.272042,en,144.0,6.4,4721
155,The Dark Knight,185000000,1004558444,2008-07-16,187.322927,en,152.0,8.2,12002
14160,Up,175000000,735099082,2009-05-13,92.201962,en,96.0,7.7,6870
15512,Monsters vs Aliens,175000000,381509870,2009-03-19,36.167578,en,94.0,6.0,1423
1726,Iron Man,140000000,585174222,2008-04-30,120.725053,en,126.0,7.4,8776
44826,Hugo,170000000,185770160,2011-11-22,32.319043,en,126.0,7.0,2141
8487,Wild Wild West,170000000,222104681,1999-06-29,40.748915,en,106.0,5.1,1020
1735,The Mummy: Tomb of the Dragon Emperor,145000000,401128639,2008-07-01,60.034162,en,112.0,5.2,1387
297761,Suicide Squad,175000000,745000000,2016-08-02,90.23792,en,123.0,5.9,7458
2698,Evan Almighty,175000000,173000000,2007-06-09,27.082182,en,96.0,5.3,1151
137113,Edge of Tomorrow,178000000,370541256,2014-05-27,79.456485,en,113.0,7.6,4858
9804,Waterworld,175000000,264218220,1995-07-28,44.640292,en,135.0,5.9,992
14869,G.I. Joe: The Rise of Cobra,175000000,302469017,2009-08-04,32.852443,en,118.0,5.6,1962
150540,Inside Out,175000000,857611174,2015-06-09,128.655964,en,94.0,8.0,6560
278927,The Jungle Book,175000000,966550600,2016-04-07,94.199316,en,106.0,6.7,2892
10138,Iron Man 2,200000000,623933331,2010-04-28,77.300194,en,124.0,6.6,6849
58595,Snow White and the Huntsman,170000000,396600000,2012-05-30,77.178973,en,127.0,5.8,3118
102651,Maleficent,180000000,758539785,2014-05-28,110.620647,en,97.0,7.0,4496
119450,Dawn of the Planet of the Apes,170000000,710644566,2014-06-26,243.791743,en,130.0,7.3,4410
79698,The Lovers,27000000,0,2015-02-13,2.418535,en,109.0,4.8,34
64686,47 Ronin,175000000,150962475,2013-12-06,41.796339,en,119.0,5.9,1326
100402,Captain America: The Winter Soldier,170000000,714766572,2014-03-20,72.225265,en,136.0,7.6,5764
10192,Shrek Forever After,165000000,752600867,2010-05-16,44.041186,en,93.0,6.0,1959
158852,Tomorrowland,190000000,209154322,2015-05-19,130.311355,en,130.0,6.2,2846
177572,Big Hero 6,165000000,652105443,2014-10-24,203.73459,en,102.0,7.8,6135
82690,Wreck-It Ralph,165000000,471222889,2012-11-01,62.341073,en,108.0,7.1,4570
5255,The Polar Express,165000000,305875730,2004-11-10,47.323228,en,100.0,6.4,1474
47933,Independence Day: Resurgence,165000000,389681935,2016-06-22,48.775723,en,120.0,4.9,2491
10191,How to Train Your Dragon,165000000,494878759,2010-03-05,67.263269,en,98.0,7.5,4227
296,Terminator 3: Rise of the Machines,200000000,435000000,2003-07-02,69.405188,en,109.0,5.9,2143
118340,Guardians of the Galaxy,170000000,773328629,2014-07-30,481.098624,en,121.0,7.9,9742
157336,Interstellar,165000000,675120017,2014-11-05,724.247784,en,169.0,8.1,10867
27205,Inception,160000000,825532764,2010-07-14,167.58371,en,148.0,8.1,13752
315011,Shin Godzilla,15000000,77000000,2016-07-29,9.476999,ja,120.0,6.5,143
49051,The Hobbit: An Unexpected Journey,250000000,1021103568,2012-11-26,108.849621,en,169.0,7.0,8297
9799,The Fast and the Furious,38000000,207283925,2001-06-22,6.909942,en,106.0,6.6,3428
4922,The Curious Case of Benjamin Button,150000000,333932083,2008-11-24,60.269279,en,166.0,7.3,3292
49538,X-Men: First Class,160000000,353624124,2011-05-24,3.195174,en,132.0,7.1,5181
131634,The Hunger Games: Mockingjay - Part 2,160000000,653428261,2015-11-18,127.284427,en,137.0,6.6,3984
27022,The Sorcerer's Apprentice,150000000,215283742,2010-07-13,35.580815,en,109.0,5.8,1470
503,Poseidon,160000000,181674817,2006-05-12,21.133748,en,99.0,5.5,583
241259,Alice Through the Looking Glass,170000000,299370084,2016-05-25,56.268916,en,113.0,6.5,1725
810,Shrek the Third,160000000,798958165,2007-05-17,42.986467,en,93.0,6.0,2278
68735,Warcraft,160000000,433677183,2016-05-25,63.148529,en,123.0,6.3,2268
87101,Terminator Genisys,155000000,440603537,2015-06-23,202.042635,en,126.0,5.8,3631
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,415686217,2010-08-13,49.661984,en,113.0,6.2,1514
676,Pearl Harbor,140000000,449220945,2001-05-21,34.20669,en,183.0,6.6,1791
1858,Transformers,150000000,709709780,2007-06-27,25.468493,en,144.0,6.6,4040
1966,Alexander,155000000,167298192,2004-11-21,39.019229,en,175.0,5.6,927
675,Harry Potter and the Order of the Phoenix,150000000,938212738,2007-06-28,78.144395,en,138.0,7.4,5494
674,Harry Potter and the Goblet of Fire,150000000,895921036,2005-11-05,101.250416,en,157.0,7.5,5608
8960,Hancock,150000000,624029371,2008-07-01,56.758411,en,92.0,6.2,2961
6479,I Am Legend,150000000,585349010,2007-12-14,70.867401,en,101.0,6.9,4853
118,Charlie and the Chocolate Factory,150000000,474968763,2005-07-13,53.905592,en,115.0,6.7,3624
2062,Ratatouille,150000000,623722818,2007-06-22,65.677399,en,111.0,7.5,4369
272,Batman Begins,150000000,374218673,2005-06-10,115.040024,en,140.0,7.5,7359
10527,Madagascar: Escape 2 Africa,150000000,603900354,2008-10-30,44.141021,en,89.0,6.2,1810
18360,Night at the Museum: Battle of the Smithsonian,150000000,413106170,2009-05-20,81.781591,en,105.0,5.9,1971
2080,X-Men Origins: Wolverine,150000000,373062864,2009-04-28,5.954334,en,107.0,6.2,4021
605,The Matrix Revolutions,150000000,424988211,2003-11-05,73.313918,en,129.0,6.4,3096
109445,Frozen,150000000,1274219009,2013-11-27,165.125366,en,102.0,7.3,5295
604,The Matrix Reloaded,150000000,738599701,2003-05-15,70.78591,en,138.0,6.7,3443
76338,Thor: The Dark World,170000000,644571402,2013-10-29,99.499595,en,112.0,6.8,4755
76341,Mad Max: Fury Road,150000000,378858340,2015-05-13,434.278564,en,120.0,7.2,9427
13448,Angels & Demons,150000000,356613439,2009-05-13,67.447636,en,138.0,6.5,2129
10195,Thor,150000000,449326618,2011-04-21,86.493424,en,115.0,6.6,6525
13053,Bolt,150000000,309979994,2008-11-21,41.845878,en,98.0,6.3,1750
19585,G-Force,150000000,292817841,2009-07-21,26.710398,en,88.0,5.1,510
57165,Wrath of the Titans,150000000,301000000,2012-03-27,44.927635,en,99.0,5.5,1431
62213,Dark Shadows,150000000,245527149,2012-05-08,50.306728,en,113.0,5.7,2320
177677,Mission: Impossible - Rogue Nation,150000000,682330139,2015-07-23,114.522237,en,131.0,7.1,3224
7978,The Wolfman,150000000,0,2010-02-11,21.214571,en,102.0,5.5,549
5559,Bee Movie,150000000,287594577,2007-10-28,29.332905,en,91.0,5.7,1171
49444,Kung Fu Panda 2,150000000,665692281,2011-05-25,51.247321,en,91.0,6.7,1880
10196,The Last Airbender,150000000,318502923,2010-06-30,33.769336,en,103.0,4.7,1151
956,Mission: Impossible III,150000000,397850012,2006-05-03,63.079003,en,126.0,6.5,2028
117251,White House Down,150000000,205366737,2013-06-27,39.004588,en,131.0,6.4,1891
50321,Mars Needs Moms,150000000,38992758,2011-03-09,12.362599,en,88.0,5.5,199
11619,Flushed Away,149000000,64459316,2006-10-22,22.550135,en,85.0,6.0,874
266647,Pan,150000000,128388320,2015-09-24,48.03528,en,111.0,5.9,954
82703,Mr. Peabody & Sherman,145000000,272912430,2014-02-07,38.73494,en,92.0,6.7,843
652,Troy,175000000,497409852,2004-05-13,66.803149,en,163.0,6.9,2759
80321,Madagascar 3: Europe's Most Wanted,145000000,746921274,2012-06-06,44.989192,en,93.0,6.4,1808
36669,Die Another Day,140000000,431971116,2002-11-17,54.159392,en,133.0,5.8,1092
43074,Ghostbusters,144000000,229147509,2016-07-14,66.21806,en,116.0,5.3,2142
95,Armageddon,140000000,553799566,1998-07-01,58.485967,en,151.0,6.4,2482
608,Men in Black II,140000000,441818803,2002-07-03,91.332849,en,88.0,6.0,3114
2310,Beowulf,70000000,195735876,2007-11-05,35.601665,en,115.0,5.5,841
140300,Kung Fu Panda 3,145000000,521170825,2016-01-23,56.747978,en,95.0,6.7,1603
56292,Mission: Impossible - Ghost Protocol,145000000,694713380,2011-12-07,77.77477,en,133.0,6.8,3972
81188,Rise of the Guardians,145000000,306941670,2012-11-21,61.788035,en,97.0,7.1,1922
7552,Fun with Dick and Jane,100000000,202026112,2005-12-21,25.159168,en,90.0,5.9,627
616,The Last Samurai,140000000,456758981,2003-12-05,52.341226,en,154.0,7.3,1895
147441,Exodus: Gods and Kings,140000000,268031828,2014-12-03,101.599427,en,150.0,5.6,1921
13475,Star Trek,150000000,385680446,2009-05-06,73.616808,en,127.0,7.4,4518
557,Spider-Man,139000000,821708551,2002-05-01,82.502566,en,121.0,6.8,5265
82702,How to Train Your Dragon 2,145000000,609123048,2014-06-12,100.21391,en,102.0,7.6,3106
205584,Gods of Egypt,140000000,150680864,2016-02-25,56.257249,en,127.0,5.3,1277
10048,Stealth,135000000,76932943,2005-07-28,17.88953,en,121.0,4.9,331
13183,Watchmen,130000000,185258983,2009-03-05,64.798873,en,163.0,7.0,2811
944,Lethal Weapon 4,140000000,285444603,1998-07-10,24.855701,en,127.0,6.3,767
1927,Hulk,137000000,245360480,2003-06-19,34.981698,en,138.0,5.3,1533
72559,G.I. Joe: Retaliation,130000000,371876278,2013-03-26,59.325589,en,110.0,5.4,3025
7364,Sahara,130000000,119269486,2005-04-06,21.605568,en,124.0,5.7,434
2114,Final Fantasy: The Spirits Within,137000000,85131830,2001-07-02,26.074908,en,106.0,5.9,433
1771,Captain America: The First Avenger,140000000,370569774,2011-07-22,74.506246,en,124.0,6.6,7047
36643,The World Is Not Enough,135000000,361832400,1999-11-08,39.604363,en,128.0,6.0,862
8619,Master and Commander: The Far Side of the World,150000000,212011111,2003-11-14,36.973031,en,138.0,6.9,790
50620,The Twilight Saga: Breaking Dawn - Part 2,120000000,829000000,2012-11-13,99.687084,en,115.0,6.1,2553
65759,Happy Feet Two,130000000,150406466,2011-11-17,17.7735,en,100.0,5.8,373
1724,The Incredible Hulk,150000000,163712074,2008-06-12,62.898336,en,114.0,6.1,3021
267935,The BFG,140000000,183345589,2016-06-01,44.19092,en,120.0,6.0,1000
281957,The Revenant,135000000,532950503,2015-12-25,100.635882,en,156.0,7.3,6396
77950,Turbo,135000000,282570682,2013-07-11,44.765377,en,96.0,6.1,1074
44896,Rango,135000000,245724603,2011-03-02,29.91353,en,107.0,6.6,2051
270946,Penguins of Madagascar,132000000,373552094,2014-11-22,84.366984,en,92.0,6.5,1346
2503,The Bourne Ultimatum,70000000,442824138,2007-08-03,45.381501,en,115.0,7.3,2888
9502,Kung Fu Panda,130000000,631744560,2008-06-04,84.689648,en,90.0,6.9,3145
102899,Ant-Man,130000000,519311965,2015-07-14,120.09361,en,117.0,7.0,5880
101299,The Hunger Games: Catching Fire,130000000,847423452,2013-11-15,76.310119,en,146.0,7.4,6495
228161,Home,135000000,368871007,2015-03-18,63.473086,en,94.0,6.8,1519
74,War of the Worlds,132000000,591739379,2005-06-28,48.572726,en,116.0,6.2,2322
8961,Bad Boys II,130000000,273339556,2003-07-18,38.068736,en,147.0,6.3,1564
417859,Puss in Boots,130000000,554987477,2011-10-28,20.678787,en,90.0,6.4,451
27576,Salt,110000000,293329073,2010-07-21,48.829437,en,100.0,6.2,2093
86834,Noah,125000000,362637473,2014-03-20,46.115758,en,139.0,5.6,2350
17578,The Adventures of Tintin,130000000,371940071,2011-10-25,89.938296,en,107.0,6.7,2061
673,Harry Potter and the Prisoner of Azkaban,130000000,789804554,2004-05-31,79.679601,en,141.0,7.7,5877
6972,Australia,130000000,49554002,2008-11-18,28.840997,en,165.0,6.3,694
82700,After Earth,130000000,243843127,2013-05-30,42.840582,en,100.0,5.0,2532
10567,Dinosaur,127500000,354248063,2000-05-19,26.548594,en,82.0,6.2,542
181533,Night at the Museum: Secret of the Tomb,127000000,349424282,2014-12-17,115.597753,en,97.0,6.1,1851
38055,Megamind,130000000,321887208,2010-10-28,68.757242,en,95.0,6.7,1918
671,Harry Potter and the Philosopher's Stone,125000000,976475550,2001-11-16,109.984351,en,152.0,7.5,7006
49524,R.I.P.D.,130000000,61648500,2013-07-18,39.448066,en,96.0,5.4,1260
22,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,655011224,2003-07-09,271.972889,en,143.0,7.5,6985
131631,The Hunger Games: Mockingjay - Part 1,125000000,752100229,2014-11-18,206.227151,en,123.0,6.6,5584
591,The Da Vinci Code,125000000,767820459,2006-05-17,45.313197,en,149.0,6.5,2704
172385,Rio 2,103000000,500188435,2014-03-19,42.40024,en,102.0,6.3,978
36658,X2,110000000,407711549,2003-04-24,2.871739,en,133.0,6.8,3506
51497,Fast Five,125000000,626137675,2011-04-20,7.255718,en,130.0,7.1,2438
58574,Sherlock Holmes: A Game of Shadows,125000000,334615000,2011-11-22,81.499621,en,129.0,7.0,3886
18823,Clash of the Titans,125000000,232713139,2010-04-01,47.686442,en,106.0,5.6,2233
861,Total Recall,65000000,261317921,1990-06-01,43.129703,en,113.0,7.1,1710
1911,The 13th Warrior,160000000,61698899,1999-08-27,27.220157,en,102.0,6.4,510
49040,The Bourne Legacy,130000000,276572938,2012-08-08,90.33681,en,120.0,6.0,2651
415,Batman & Robin,125000000,238207122,1997-06-20,50.073575,en,125.0,4.2,1418
8871,How the Grinch Stole Christmas,123000000,345141403,2000-11-17,45.419668,en,104.0,6.2,1386
435,The Day After Tomorrow,125000000,544272402,2004-05-26,41.380094,en,124.0,6.2,2392
955,Mission: Impossible II,125000000,546388105,2000-05-24,54.931334,en,123.0,5.9,1928
2133,The Perfect Storm,120000000,325756637,2000-03-15,25.752118,en,130.0,6.2,597
1979,Fantastic 4: Rise of the Silver Surfer,130000000,289047763,2007-06-13,60.810723,en,92.0,5.4,2589
87827,Life of Pi,120000000,609016565,2012-11-20,51.328145,en,127.0,7.2,5797
1250,Ghost Rider,110000000,228738393,2007-02-16,46.834704,en,114.0,5.2,1712
324668,Jason Bourne,120000000,415484914,2016-07-27,62.641286,en,123.0,5.9,2341
9471,Charlie's Angels: Full Throttle,120000000,259175788,2003-06-27,33.616115,en,106.0,5.2,914
70981,Prometheus,130000000,403170142,2012-05-30,68.889395,en,124.0,6.3,5080
10996,Stuart Little 2,120000000,169956806,2002-07-19,27.990284,en,78.0,5.4,613
68724,Elysium,115000000,286140700,2013-08-07,67.33767,en,109.0,6.4,3439
2789,The Chronicles of Riddick,105000000,115772733,2004-06-11,27.835436,en,119.0,6.3,1570
97020,RoboCop,120000000,242688965,2014-01-30,66.757869,en,102.0,5.7,2342
7459,Speed Racer,120000000,93945766,2008-05-09,17.060695,en,135.0,5.7,354
42888,How Do You Know,120000000,48668907,2010-12-17,11.137655,en,121.0,4.9,223
37834,Knight and Day,117000000,261930431,2010-06-15,44.906918,en,109.0,5.9,1547
75612,Oblivion,120000000,286168572,2013-04-10,67.698004,en,124.0,6.4,4800
1895,Star Wars: Episode III - Revenge of the Sith,113000000,850000000,2005-05-17,44.108427,en,140.0,7.1,4116
1894,Star Wars: Episode II - Attack of the Clones,120000000,649398328,2002-05-15,43.987061,en,142.0,6.4,3992
585,"Monsters, Inc.",115000000,562816256,2001-11-01,106.815545,en,92.0,7.5,5996
76170,The Wolverine,120000000,415440673,2013-07-23,15.953444,en,126.0,6.3,4053
1893,Star Wars: Episode I - The Phantom Menace,115000000,924317558,1999-05-19,54.035265,en,136.0,6.3,4432
49519,The Croods,135000000,585178928,2013-03-20,64.183321,en,98.0,6.8,2399
2395,Asterix at the Olympic Games,97250400,132900000,2008-01-13,20.344364,fr,116.0,5.0,471
12100,Windtalkers,115000000,77628265,2002-06-14,18.714197,en,134.0,5.8,341
290595,The Huntsman: Winter's War,115000000,164602163,2016-04-06,60.467984,en,114.0,6.0,1523
98566,Teenage Mutant Ninja Turtles,125000000,477200000,2014-08-07,143.350376,en,101.0,5.8,2636
49047,Gravity,105000000,716392705,2013-09-27,110.153618,en,91.0,7.3,5751
9619,Dante's Peak,116000000,178127760,1997-02-07,16.90444,en,108.0,5.7,428
308531,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,245623848,2016-06-01,39.873791,en,112.0,5.8,963
166424,Fantastic Four,120000000,167977596,2015-08-05,38.126095,en,100.0,4.4,2278
1593,Night at the Museum,110000000,574480841,2006-10-20,48.780039,en,108.0,6.3,2862
254128,San Andreas,110000000,470490832,2015-05-27,100.412364,en,114.0,6.0,2968
714,Tomorrow Never Dies,110000000,333011068,1997-12-11,42.887121,en,119.0,6.0,925
2024,The Patriot,110000000,215294342,2000-06-28,23.657284,en,165.0,6.8,1099
163,Ocean's Twelve,110000000,362744280,2004-12-09,76.840712,en,125.0,6.4,2124
787,Mr. & Mrs. Smith,110000000,478207520,2005-06-07,44.635452,en,120.0,6.5,2965
262500,Insurgent,110000000,295238201,2015-03-18,103.718387,en,119.0,6.2,3829
2567,The Aviator,116000000,102000000,2004-12-17,45.616098,en,170.0,7.0,1489
38745,Gulliver's Travels,112000000,237382724,2010-12-25,22.845143,en,85.0,4.9,621
40805,The Green Hornet,120000000,227817248,2011-01-12,31.703608,en,119.0,5.5,1251
53182,300: Rise of an Empire,110000000,337580051,2014-03-05,71.510596,en,102.0,6.1,2397
41513,The Smurfs,110000000,563749323,2011-07-29,36.65422,en,103.0,5.5,1179
13700,Home on the Range,110000000,103951461,2004-04-02,19.625972,en,76.0,5.7,389
262504,Allegiant,110000000,179246868,2016-03-09,86.105615,en,121.0,5.9,1998
39254,Real Steel,110000000,299268508,2011-09-28,37.195046,en,127.0,6.6,2692
77931,The Smurfs 2,105000000,347434178,2013-07-30,32.473628,en,105.0,5.5,695
1639,Speed 2: Cruise Control,160000000,164508066,1997-06-13,23.336875,en,121.0,4.1,434
80274,Ender's Game,110000000,125537191,2013-10-23,45.94834,en,114.0,6.6,2303
1571,Live Free or Die Hard,110000000,383531464,2007-06-20,48.93337,en,128.0,6.4,2089
120,The Lord of the Rings: The Fellowship of the Ring,93000000,871368364,2001-12-18,138.049577,en,178.0,8.0,8705
10204,Around the World in 80 Days,110000000,72178895,2004-06-16,22.643776,en,120.0,5.7,672
8489,Ali,107000000,87713825,2001-12-11,18.866672,en,157.0,6.7,447
10588,The Cat in the Hat,0,0,2003-11-21,18.251129,en,82.0,4.9,366
2048,"I, Robot",120000000,347234916,2004-07-15,95.914473,en,115.0,6.7,3793
1495,Kingdom of Heaven,130000000,211643158,2005-05-03,44.490453,en,144.0,6.6,1157
10137,Stuart Little,133000000,300135367,1999-12-17,30.475297,en,84.0,5.8,959
10198,The Princess and the Frog,105000000,267045765,2009-12-08,62.479574,en,97.0,6.7,1247
286217,The Martian,108000000,630161890,2015-09-30,167.93287,en,141.0,7.6,7268
1635,The Island,126000000,162949164,2005-07-20,37.68056,en,136.0,6.5,1770
24113,Town & Country,90000000,10372291,2001-04-27,1.004579,en,104.0,3.7,16
9679,Gone in Sixty Seconds,90000000,237202299,2000-06-09,52.995628,en,118.0,6.1,1485
98,Gladiator,103000000,457640427,2000-05-01,95.301296,en,155.0,7.9,5439
180,Minority Report,102000000,358372926,2002-06-20,65.948959,en,145.0,7.1,2608
672,Harry Potter and the Chamber of Secrets,100000000,876688482,2002-11-13,132.397737,en,161.0,7.4,5815
36557,Casino Royale,150000000,599045960,2006-11-14,88.935165,en,144.0,7.3,3855
869,Planet of the Apes,100000000,362211740,2001-07-25,51.188633,en,119.0,5.6,1243
280,Terminator 2: Judgment Day,100000000,520000000,1991-07-01,101.74155,en,137.0,7.7,4185
11322,Public Enemies,80000000,214104620,2009-07-01,33.691694,en,140.0,6.5,1344
4982,American Gangster,100000000,266465037,2007-11-02,42.361215,en,157.0,7.4,1502
36955,True Lies,115000000,378882411,1994-07-14,38.729418,en,141.0,6.8,1116
18487,The Taking of Pelham 1 2 3,100000000,150166126,2009-06-11,40.597856,en,106.0,6.2,954
39451,Little Fockers,100000000,310650585,2010-12-21,32.389353,en,98.0,5.4,1060
27581,The Other Guys,100000000,170432927,2010-08-06,24.399642,en,107.0,6.1,1383
9268,Eraser,100000000,242295562,1996-06-21,24.507987,en,115.0,5.6,543
68718,Django Unchained,100000000,425368238,2012-12-25,82.121691,en,165.0,7.8,10099
10545,The Hunchback of Notre Dame,100000000,100138851,1996-06-21,46.727941,en,91.0,6.8,1129
11688,The Emperor's New Groove,100000000,169327687,2000-12-09,51.113717,en,78.0,7.2,1490
76163,The Expendables 2,100000000,312573423,2012-08-08,53.732892,en,103.0,6.1,2896
2059,National Treasure,100000000,347451894,2004-11-19,58.849256,en,131.0,6.4,1926
2486,Eragon,100000000,249288105,2006-12-14,30.863434,en,104.0,4.9,967
16523,Where the Wild Things Are,100000000,100086793,2009-10-16,31.586215,en,101.0,6.4,572
116711,Epic,100000000,268426634,2013-05-15,36.711378,en,102.0,6.4,1121
37710,The Tourist,100000000,278731369,2010-12-08,41.426678,en,103.0,6.0,1699
9946,End of Days,100000000,211989043,1999-11-24,20.652943,en,121.0,5.5,482
1372,Blood Diamond,100000000,170877916,2006-12-07,52.792678,en,143.0,7.3,2281
106646,The Wolf of Wall Street,100000000,392000694,2013-12-25,95.007934,en,180.0,7.9,6571
414,Batman Forever,100000000,336529144,1995-05-31,48.205606,en,121.0,5.2,1498
563,Starship Troopers,105000000,121214377,1997-11-06,58.782359,en,129.0,6.7,1560
83542,Cloud Atlas,102000000,130482868,2012-10-26,73.872343,en,172.0,6.6,2977
41216,Legend of the Guardians: The Owls of Ga'Hoole,80000000,140073390,2010-07-10,37.321848,en,97.0,6.5,703
314,Catwoman,100000000,82102379,2004-07-22,32.271938,en,104.0,4.2,808
184315,Hercules,100000000,243400000,2014-07-23,76.842247,en,99.0,5.6,1680
